;tlg0032005apologia.replicatio.v03.txt;tlg0007096tranquillitate.replicatio.v03.txt;tlg0007095ira.replicatio.v03.txt;tlg0059038axiochus.replicatio.v03.txt;tlg0059008politicus.replicatio.v03.txt;tlg0059004phaedo.replicatio.v03.txt;tlg0059034leges.replicatio.v03.txt;tlg0059002apologia.replicatio.v03.txt
tlg0032005apologia.replicatio.v03.txt;0;1344.7594580444488;1111.771109536491;250.06399181009647;4677.474425371025;5927.78474642931;30943.011537340706;1959.6122065347522
tlg0007096tranquillitate.replicatio.v03.txt;1344.7594580444488;0;340.90614544182097;1270.4692046641667;3679.3943795141067;4944.513322866063;29899.63917842488;1314.5645666911914
tlg0007095ira.replicatio.v03.txt;1111.771109536491;340.90614544182097;0;1047.169995750451;3886.43203980206;5134.764551564171;30131.13479442817;1406.1034812559137
tlg0059038axiochus.replicatio.v03.txt;250.06399181009647;1270.4692046641667;1047.169995750451;0;4572.462028273171;5853.973863966255;30839.2609022979;1905.583375242343
tlg0059008politicus.replicatio.v03.txt;4677.474425371025;3679.3943795141067;3886.43203980206;4572.462028273171;0;2231.124156115029;26374.845174901027;3053.0769724984007
tlg0059004phaedo.replicatio.v03.txt;5927.78474642931;4944.513322866063;5134.764551564171;5853.973863966255;2231.124156115029;0;25413.427651538863;4074.0218457931715
tlg0059034leges.replicatio.v03.txt;30943.011537340706;29899.63917842488;30131.13479442817;30839.2609022979;26374.845174901027;25413.427651538863;0;29147.44741825603
tlg0059002apologia.replicatio.v03.txt;1959.6122065347522;1314.5645666911914;1406.1034812559137;1905.583375242343;3053.0769724984007;4074.0218457931715;29147.44741825603;0
