μει;;72
ερα;;71
αρμ;;71
ανυ;;71
πισ;;71
υ σ;;70
ρ α;;70
νυ ;;70
ντω;;70
ιδο;;70
οκε;;70
