tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;tail-point; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;tail-pointvoksize;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;k-point;k-pointindex;sumhalbehoehe;k-pointvoksize;h-ponit;h-pointvoksize;h-point/k-point;h-point/tail-point
phi2349006bucolicon.replicatio.v02.xml;329;19;174;672;17;344.5;18;500;259;1.1176470588235294;0.4895833333333333;0.5050798258345428;0.0043206913106096975;0.12013922227556409;0.06222995679308689;4166;184855;172;172;1997;0.47935669707153145;260;e q ;0.50002434340429;0.06240998559769563;249;0.05976956313010082;0.9576923076923077;0.9604628736740598
phi2349007georgicon.replicatio.v02.xml;479;21;250;752;19;385.5;20;615;317;1.105263157894737;0.636968085106383;0.648508430609598;0.0038827412152980002;0.11949136090079596;0.061687051058046984;5151;339685;267;267;2519;0.48903125606678316;263; so ;0.5002870306313196;0.051058046981168705;341;0.0662007377208309;1.296577946768061;1.0731707317073171
phi0474037oratore.replicatio.v02.xml;679;20;349.5;829;18;423.5;19;754;386;1.1111111111111112;0.8190591073582629;0.8252656434474617;0.005211190345584202;0.2068019747668678;0.106006582556226;3646;406588;283;283;2071;0.568019747668678;214; te ;0.5006370084704909;0.058694459681843114;370;0.10148107515085025;1.7289719626168225;0.9573091849935317
phi2349005aeneidos.replicatio.v02sa.xml;727;32;379.5;1035;30;532.5;31;881;456;1.0666666666666667;0.702415458937198;0.7126760563380282;0.005474130319618577;0.15557125198657956;0.08052269115309907;5663;662300;382;382;2827;0.4992053681794102;253;uia ;0.5003427449796163;0.044675966802048384;466;0.0822885396432986;1.841897233201581;1.0219298245614035
phi2349006bucolicon.replicatio.v02sa.xml;122;15;68.5;145;13;79;14;133;73;1.1538461538461537;0.8413793103448276;0.8670886075949367;0.004623513870541612;0.0440885072655218;0.024356010568031702;3028;55447;119;118;1128;0.3725231175693527;255;lle ;0.500171334788176;0.08421400264200793;131;0.043262879788639366;0.5137254901960784;1.776271186440678
phi2349007georgicon.replicatio.v02sa.xml;283;18;150.5;254;16;135;17;268;142;1.125;1.1141732283464567;1.114814814814815;0.004186161044077813;0.06611672001969958;0.0351514405318887;4061;109654;147;142;1628;0.4008864811622753;261;do  ;0.5001094351323252;0.06426988426495937;184;0.04530903718295986;0.7049808429118773;1.2889667250437828
phi2349007georgicon.replicatio.v02s.xml;501;43;272;529;41;285;42;515;278;1.048780487804878;0.947069943289225;0.9543859649122807;0.009152320767051645;0.1122248855959904;0.06068860318152103;4589;230033;194;194;2192;0.4776639790804097;259;lia ;0.5000847704459795;0.05643931139681848;273;0.059490084985835696;1.054054054054054;0.9802513464991023
phi2349006bucolicon.replicatio.v02s.xml;221;19;120;306;17;161.5;18;263;140;1.1176470588235294;0.7222222222222222;0.7430340557275542;0.00464516129032258;0.068;0.03632258064516129;3875;129300;179;179;1721;0.4441290322580645;258; hi ;0.5003325599381284;0.06658064516129032;212;0.05470967741935484;0.8217054263565892;1.5062166962699823
phi2349005aeneidos.replicatio.v02s.xml;1261;82;671.5;2101;80;1090.5;81;1681;881;1.025;0.6001903855306997;0.6157725813846859;0.012859183997459915;0.26686775678679153;0.13986347039212574;6299;1212648;323;323;3327;0.5281790760438165;256; lo ;0.5002976956214833;0.04064137164629306;608;0.09652325765994603;2.375;0.6901248581157775
phi1017012tranquillitate.replicatio.v01.xml;118;24;71;148;22;85;23;133;78;1.0909090909090908;0.7972972972972973;0.8352941176470589;0.00921474358974359;0.05328525641025641;0.03125;2496;50858;111;109;1046;0.41907051282051283;225;lit ;0.5007078532384287;0.09014423076923077;128;0.05128205128205128;0.5688888888888889;1.641025641025641
phi1351003oratoribus.replicatio.v01.xml;207;22;114.5;215;20;117.5;21;211;116;1.1;0.9627906976744186;0.9744680851063829;0.008270972823946435;0.08310358408822371;0.04568727845608507;2539;63900;110;110;1182;0.4655376132335565;213;ari ;0.5000625978090768;0.08389129578574242;143;0.056321386372587635;0.6713615023474179;1.2327586206896552
phi1017012ira.replicatio.v01.xml;342;10;176;341;8;174.5;9;341;175;1.25;1.002932551319648;1.008595988538682;0.003115264797507788;0.11820699203876774;0.06066112841813776;2889;150376;195;194;1652;0.5718241606092074;222;nem ;0.5001396499441402;0.07684319833852545;222;0.07684319833852545;1;1.266761768901569
phi0474031milone.replicatio.v01.xml;229;20;124.5;254;18;136;19;241;130;1.1111111111111112;0.9015748031496063;0.9154411764705882;0.007442224833529181;0.0945945945945946;0.05101840971406189;2553;68857;111;111;1159;0.45397571484528004;223;m t ;0.5010383838970619;0.08734821778300039;160;0.06267136701919311;0.7174887892376681;1.2284069097888675
phi0474032marcello.replicatio.v02.xml;41;5;23;104;3;53.5;4;72;38;1.6666666666666667;0.3942307692307692;0.42990654205607476;0.0021668472372697724;0.03927410617551463;0.0207204767063922;1846;17897;52;51;497;0.2692307692307692;212; nu ;0.5003631893613452;0.11484290357529794;74;0.04008667388949079;0.3490566037735849;1.934640522875817
phi2349005aeneidos.replicatio.v02.xml;1440;102;771;1682;100;891;101;1561;831;1.02;0.8561236623067776;0.8653198653198653;0.014414157271300129;0.22277722277722278;0.11859569002426146;7007;1874768;537;536;3693;0.5270443841872413;257;oru ;0.5005243315439567;0.03667760810617954;744;0.10617953475096333;2.894941634241245;0.8953068592057761
