tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;mmposdiffrank; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;mmpospropall;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;halbehoehe;halbehoehetoken;sumhalbehoehe;halbehoehepropall
IT18830_Boito_Senso.xml;191;13;102;762;11;386.5;12;476;244;1.1818181818181819;0.25065616797900264;0.26390685640362227;0.005263157894736842;0.20899122807017545;0.10712719298245614;2280;66018;68;68;1055;0.46271929824561403;177;ont ;0.5003180950649824;0.0002194377609934133
IT19220_Aleramo_Trasfigurazione.xml;202;27;114.5;175;25;100;26;188;107;1.08;1.1542857142857144;1.145;0.015133876600698487;0.10972060535506403;0.06242724097788126;1718;32866;74;74;638;0.3713620488940629;145;sta ;0.5014300492910608;0.0002918684803789644
IT18700_Garibaldi_Cantoni-il-volontario.xml;511;28;269.5;1200;26;613;27;855;441;1.0769230769230769;0.42583333333333334;0.4396411092985318;0.007510431154381085;0.23796940194714883;0.12273991655076495;3595;302625;174;174;1886;0.5246175243393603;191;e f ;0.5001338289962829;0.00013911928483902167
IT19191_Tozzi_Con-gli-occhi-chiusi.xml;486;6;246;819;4;411.5;5;652;328;1.5;0.5934065934065934;0.5978128797083839;0.0020383204239706482;0.2660008153281696;0.1340195678760701;2453;267505;209;209;1667;0.6795760293518142;157;in  ;0.5003383114334309;0.0002039699598179498
IT19261_Pirandello_Uno-nessuno-e-centomila.xml;445;65;255;557;63;310;64;501;282;1.0317460317460319;0.7989228007181328;0.8225806451612904;0.024390243902439025;0.19092987804878048;0.10766006097560976;2624;253583;226;226;1622;0.618140243902439;158;ni  ;0.5015123253530402;0.0001911251239912501
IT18520_Tommaseo_Fede-e-bellezza.xml;378;38;208;786;36;411;37;582;309;1.0555555555555556;0.48091603053435117;0.5060827250608273;0.01353823637028906;0.21295279912184412;0.11324551774606659;2733;265369;223;221;1717;0.628247347237468;172;o n ;0.5000998609483396;0.00018298567908830573
IT18750_Verga_Il-marito-di-Elena.xml;516;22;269;747;20;383.5;21;631;326;1.1;0.6907630522088354;0.7014341590612777;0.008033664881407804;0.24158377964804897;0.12480872226472839;2614;272279;213;213;1693;0.6476664116296863;165; me ;0.5010595749213124;0.00019168308145421284
IT18831_Collodi_Le-avventure-di-Pinocchio.xml;483;0;241.5;599;-2;298.5;-1;541;270;0;0.8063439065108514;0.8090452261306532;-0.0003971405877680699;0.21485305798252582;0.10722795869737888;2518;225480;218;217;1552;0.6163621922160445;165;col ;0.5001818343090297;0.0001986425076683994
IT18760_Imbriani_Dio-ne-scampi-dagli-Orsenigo.xml;514;57;285.5;1028;55;541.5;56;771;413;1.0363636363636364;0.5;0.5272391505078485;0.01818181818181818;0.25032467532467534;0.13425324675324676;3080;239844;155;154;1761;0.5717532467532468;193;ser ;0.5011465786094296;0.00016270992811994467
IT18620_Petruccelli-della-Gattina_I-moribondi-del-Palazzo-Carignano.xml;390;29;209.5;489;27;258;28;439;233;1.0740740740740742;0.7975460122699386;0.812015503875969;0.008612734543217471;0.13518917256228852;0.071900953552753;3251;229583;244;244;1757;0.5404490925868963;185;sto ;0.5000936480488535;0.00015382763704978574
