tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;tail-point; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;tail-pointvoksize;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;k-point;k-pointindex;sumhalbehoehe;k-pointvoksize;h-ponit;h-pointvoksize;h-point/k-point;h-point/tail-point
tlg0059038axiochus.replicatio.v03.xml;50;15;32.5;92;13;52.5;14;71;42;1.1538461538461537;0.5434782608695652;0.6190476190476191;0.006008583690987125;0.030472103004291845;0.018240343347639486;2330;14675;51;50;294;0.12618025751072962;168;σ μ ;0.5006473594548555;0.07210300429184549;58;0.024892703862660945;0.34523809523809523;1.3647058823529412
tlg0032005apologia.replicatio.v03.xml;65;12;38.5;61;10;35.5;11;63;37;1.2;1.0655737704918034;1.0845070422535212;0.005952380952380952;0.03409090909090909;0.02002164502164502;1848;12289;50;50;275;0.1488095238095238;151;υτω ;0.501098543412808;0.0817099567099567;61;0.03300865800865801;0.40397350993377484;1.6486486486486487
tlg0059008politicus.replicatio.v03.xml;252;37;144.5;393;35;214;36;322;179;1.0571428571428572;0.6412213740458015;0.6752336448598131;0.011711125569290826;0.10491216655823032;0.058311646063760575;3074;107681;128;127;1318;0.42875731945348083;146;ν γ ;0.5007847252532942;0.04749512036434613;172;0.05595315549772284;1.178082191780822;0.9595536959553695
tlg0059004phaedo.replicatio.v03.xml;290;49;169.5;334;47;190.5;48;312;180;1.0425531914893618;0.8682634730538922;0.889763779527559;0.014536644457904301;0.09448818897637795;0.054512416717141125;3302;127610;160;159;1421;0.4303452453058752;146;λα  ;0.5000156727529191;0.044215626892792244;191;0.05784373107207753;1.3082191780821917;1.0611111111111111
tlg0007096tranquillitate.replicatio.v03.xml;168;8;88;127;6;66.5;7;147;77;1.3333333333333333;1.3228346456692914;1.3233082706766917;0.002028985507246377;0.042753623188405795;0.022391304347826088;3450;39057;94;93;716;0.20753623188405798;163; αγ ;0.5004736666922701;0.0472463768115942;97;0.028115942028985506;0.5950920245398773;1.255663430420712
tlg0059002apologia.replicatio.v03.xml;160;20;90;202;18;110;19;181;100;1.1111111111111112;0.7920792079207921;0.8181818181818182;0.007390120575651498;0.07040062232594321;0.038895371450797356;2571;51348;106;106;861;0.3348891481913652;146;ντε ;0.5003700241489445;0.056787242318164136;121;0.0470633994554648;0.8287671232876712;1.21
tlg0007095ira.replicatio.v03.xml;102;8;55;133;6;69.5;7;117;62;1.3333333333333333;0.7669172932330827;0.7913669064748201;0.002136752136752137;0.035866910866910864;0.0190018315018315;3276;35245;90;90;690;0.21062271062271062;174; γε ;0.5001276776847774;0.05311355311355311;89;0.027167277167277168;0.5114942528735632;1.429718875502008
tlg0059034leges.replicatio.v03.xml;634;36;335;1002;34;518;35;818;426;1.0588235294117647;0.6327345309381237;0.6467181467181468;0.008415484491464294;0.19668189468622266;0.10254868958884347;4159;627368;312;312;2612;0.6280355854772782;150;εσθ ;0.5011572155417553;0.03606636210627555;404;0.09713873527290214;2.6933333333333334;0.9472450175849941
