tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;mmposdiffrank; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;mmpospropall;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;halbehoehe;halbehoehetoken;sumhalbehoehe;halbehoehepropall
DEU008.xml;280;49;164.5;451;47;249;48;365;206;1.0425531914893618;0.6208425720620843;0.6606425702811245;0.013370473537604457;0.10181058495821727;0.05759052924791087;3590;150991;170;168;1498;0.41727019498607243;163;r i ;0.501069600174845;0.0001395737047840794
DEU012.xml;395;37;216;380;35;207.5;36;387;211;1.0571428571428572;1.0394736842105263;1.0409638554216867;0.009235505387378143;0.09940995382247306;0.0543227296049256;3898;148596;149;149;1616;0.4145715751667522;179;ieb ;0.5009017739373873;0.0001285022508818336
DEU017.xml;376;55;215.5;498;53;275.5;54;437;245;1.0377358490566038;0.7550200803212851;0.7822141560798548;0.014750068287353183;0.11936629336246928;0.06705818082491123;3661;208858;195;195;1681;0.45916416279704997;159;ige ;0.5002058815080105;0.0001366309427773861
DEU023.xml;433;30;231.5;442;28;235;29;437;233;1.0714285714285714;0.9796380090497737;0.9851063829787234;0.007192460317460317;0.10850694444444445;0.057849702380952384;4032;223130;230;229;1765;0.43774801587301587;164;h s ;0.5006319186124679;0.0001241646623542827
DEU033.xml;538;27;282.5;558;25;291.5;26;548;287;1.08;0.96415770609319;0.9691252144082333;0.006687242798353909;0.14094650205761317;0.07381687242798354;3888;200280;164;164;1717;0.44161522633744854;167;ube ;0.500009986019573;0.00012860339146593955
DEU046.xml;366;34;200;503;32;267.5;33;434;233;1.0625;0.7276341948310139;0.7476635514018691;0.009171762090050028;0.1207615341856587;0.06496664813785437;3598;184742;180;180;1581;0.4394107837687604;151;de  ;0.5000162388628464;0.00013897060557611072
DEU051.xml;428;55;241.5;360;53;206.5;54;394;224;1.0377358490566038;1.1888888888888889;1.1694915254237288;0.013180375884793752;0.09616792775201367;0.05467415181840371;4097;193821;199;198;1740;0.4247010007322431;173;ner ;0.5009106340386233;0.0001222627859503596
DEU058.xml;342;29;185.5;528;27;277.5;28;435;231;1.0740740740740742;0.6477272727272727;0.6684684684684684;0.006894853484363458;0.10711647377493229;0.05700566362964787;4061;207055;202;202;1740;0.42846589509972915;166;ied ;0.5000845186061672;0.00012314319591385552
DEU060.xml;234;33;133.5;287;31;159;32;260;146;1.064516129032258;0.8153310104529616;0.839622641509434;0.009213936078318457;0.07500719838756119;0.04211056723293982;3473;110016;169;168;1319;0.3797869277281889;165;rt  ;0.5004999272833043;0.0001441116980372313
DEU063.xml;396;22;209;677;20;348.5;21;536;278;1.1;0.5849335302806499;0.599713055954089;0.005040806529044647;0.12878060489678347;0.06691070571291406;4166;192642;156;156;1788;0.42918867018722995;170;von ;0.5005606254087892;0.00012015377470206174
DEU064.xml;451;39;245;547;37;292;38;499;268;1.054054054054054;0.8244972577696527;0.839041095890411;0.010376843255051884;0.1362643364281813;0.0733205898416166;3662;228104;204;203;1717;0.4688694702348443;157;nne ;0.5009425525199029;0.0001367947986127534
DEU080.xml;302;37;169.5;561;35;298;36;431;233;1.0571428571428572;0.5383244206773619;0.5687919463087249;0.010395610742131101;0.1246029454230436;0.06749927808258735;3463;172636;175;175;1546;0.4464337279815189;160;hin ;0.5010484487592393;0.00014468623989582422
DEU083.xml;340;34;187;311;32;171.5;33;325;179;1.0625;1.0932475884244373;1.0903790087463556;0.00847457627118644;0.08359013867488443;0.04603235747303544;3894;124571;147;147;1456;0.3739085772984078;171;hte ;0.5005418596623609;0.0001285418232312175
DEU086.xml;546;58;302;569;56;312.5;57;557;307;1.0357142857142858;0.9595782073813708;0.9664;0.01532258064516129;0.14986559139784947;0.08259408602150538;3720;229917;174;174;1834;0.493010752688172;169;des ;0.5010634272367857;0.00013469446968730796
DEU088.xml;363;25;194;447;23;235;24;405;214;1.0869565217391304;0.8120805369127517;0.825531914893617;0.00606366851945427;0.1023244062657908;0.05419403739262254;3958;188972;208;208;1642;0.414855987872663;163;ube ;0.5012435704760494;0.00012664061911976993
DEU090.xml;356;35;195.5;421;33;227;34;388;211;1.0606060606060606;0.8456057007125891;0.8612334801762115;0.009582863585118376;0.10949830890642616;0.05954058624577226;3548;126738;147;146;1404;0.39571589627959414;169;daß ;0.5005523205352775;0.00014108013543835332
DEU091.xml;436;37;236.5;584;35;309.5;36;510;273;1.0571428571428572;0.7465753424657534;0.7641357027463651;0.009690444145356662;0.13728129205921938;0.07348586810228802;3715;223829;190;190;1824;0.49098250336473753;170;ere ;0.5009315146830841;0.00013484024621348157
DEU092.xml;398;44;221;654;42;348;43;526;284;1.0476190476190477;0.6085626911314985;0.6350574712643678;0.011028468838163632;0.13490638625288537;0.07296742754552449;3899;231529;188;188;1736;0.4452423698384201;153;wir ;0.5009566836119881;0.00012848337615080485
DEU093.xml;397;3;200;472;1;236.5;2;434;218;3;0.8411016949152542;0.8456659619450317;0.000484027105517909;0.10515488867376573;0.05281945788964182;4132;200807;209;208;1825;0.441674733785092;188; wo ;0.5004506815001468;0.00012111584741049051
DEU098.xml;459;29;244;542;27;284.5;28;500;264;1.0740740740740742;0.8468634686346863;0.8576449912126538;0.0072897682895079405;0.13030460817495443;0.06879718823223119;3841;204868;187;187;1765;0.4595157511064827;174;sse ;0.5002391783977975;0.00013023670356620607
