Id;Label;Classes;Group
0;phi2349006bucolicon.replicatio.v02.xml;phi2349006bucolicon.;1
1;phi2349007georgicon.replicatio.v02.xml;phi2349007georgicon.;2
2;phi0474037oratore.replicatio.v02.xml;phi0474037oratore.re;3
3;phi2349005aeneidos.replicatio.v02sa.xml;phi2349005aeneidos.r;4
4;phi2349006bucolicon.replicatio.v02sa.xml;phi2349006bucolicon.;5
5;phi2349007georgicon.replicatio.v02sa.xml;phi2349007georgicon.;6
6;phi2349007georgicon.replicatio.v02s.xml;phi2349007georgicon.;7
7;phi2349006bucolicon.replicatio.v02s.xml;phi2349006bucolicon.;8
8;phi2349005aeneidos.replicatio.v02s.xml;phi2349005aeneidos.r;9
9;phi1017012tranquillitate.replicatio.v01.xml;phi1017012tranquilli;10
10;phi1351003oratoribus.replicatio.v01.xml;phi1351003oratoribus;11
11;phi1017012ira.replicatio.v01.xml;phi1017012ira.replic;12
12;phi0474031milone.replicatio.v01.xml;phi0474031milone.rep;13
13;phi0474032marcello.replicatio.v02.xml;phi0474032marcello.r;14
14;phi2349005aeneidos.replicatio.v02.xml;phi2349005aeneidos.r;15
