tn;posdiff;posdifffront;mposdiff;posrank;posrankfront;mposrank;mposdiffrankfront;mposdiffrank;tail-point; propposfront; proppos; propmpos; mposfrontpropall;mpospropall;tail-pointvoksize;alltoken;textlength;tokenhaufende;tokenhausanf;posten;propposten;k-point;k-pointindex;sumhalbehoehe;k-pointvoksize;h-ponit;h-pointvoksize;h-point/k-point;h-point/tail-point
FRA02001_Gilbert.txt;233;14;123.5;462;12;237;13;347;180;1.1666666666666667;0.5043290043290043;0.5210970464135021;0.004103535353535354;0.10969065656565656;0.05689709595959596;3168;120540;150;150;1446;0.4564393939393939;168;ser ;0.5002239920358388;0.05303030303030303;182;0.05744949494949495;1.0833333333333333;1.0097087378640777
FRA02202_Gouraud.txt;543;37;290;1108;35;571.5;36;825;430;1.0571428571428572;0.490072202166065;0.5074365704286964;0.0108499095840868;0.248794454490657;0.12982218203737192;3318;229370;122;122;1742;0.5250150693188668;158;ite ;0.5010027466538783;0.047619047619047616;261;0.07866184448462929;1.6518987341772151;0.6059199071387116
FRA07101_Blondel.txt;425;42;233.5;485;40;262.5;41;455;248;1.05;0.8762886597938144;0.8895238095238095;0.013433813892529489;0.14908256880733944;0.08125819134993446;3052;228323;221;221;1680;0.5504587155963303;147;ses ;0.5013686750787261;0.0481651376146789;257;0.08420707732634339;1.748299319727891;1.0362903225806452
FRA00501_Balzac.txt;448;56;252;498;54;276;55;473;264;1.037037037037037;0.8995983935742972;0.9130434782608695;0.015781922525107604;0.13572453371592538;0.0757532281205165;3485;227703;206;205;1835;0.5265423242467718;167;dit ;0.5005687232930616;0.04791965566714491;255;0.07317073170731707;1.526946107784431;0.9659090909090909
FRA00401_Allais.txt;324;24;174;464;22;243;23;394;208;1.0909090909090908;0.6982758620689655;0.7160493827160493;0.005332715047530721;0.09135172733596104;0.04834222119174589;4313;212912;224;221;2029;0.47043821006260145;183;lus ;0.500859510032314;0.04242986320426617;234;0.0542545791792256;1.278688524590164;1.1223021582733812
FRA01701_GautierT.txt;342;37;189.5;507;35;271;36;424;230;1.0571428571428572;0.6745562130177515;0.6992619926199262;0.010120888389091932;0.11934214225470903;0.06473151532190048;3557;216319;221;219;1844;0.5184143941523756;167;ier ;0.5000115570060878;0.046949676693843125;252;0.07084621872364352;1.5089820359281436;1.0944625407166124
FRA03401_Reybaud.txt;448;23;235.5;472;21;246.5;22;460;241;1.0952380952380953;0.9491525423728814;0.9553752535496958;0.006821705426356589;0.14263565891472868;0.07472868217054264;3225;203788;205;204;1719;0.5330232558139535;159;e b ;0.5002944236166996;0.04930232558139535;245;0.07596899224806201;1.5408805031446542;1.016597510373444
FRA01402_Fleuriot.txt;404;36;220;502;34;268;35;453;244;1.0588235294117647;0.8047808764940239;0.8208955223880597;0.010398098633392751;0.13458110516934046;0.07248960190136661;3366;194231;191;191;1667;0.4952465834818776;159;e g ;0.5003887124094508;0.04723707664884135;246;0.07308377896613191;1.5471698113207548;1.0081967213114753
FRA00201_Audoux.txt;347;15;181;434;13;223.5;14;390;202;1.1538461538461537;0.7995391705069125;0.8098434004474273;0.005113221329437546;0.14262235208181154;0.07386778670562455;2738;192751;223;222;1488;0.5434623813002192;135; no ;0.5009001250317765;0.049306062819576335;236;0.08619430241051863;1.7481481481481482;1.1668726823238567
FRA01002_DelarueMardrus.txt;432;57;244.5;444;55;249.5;56;438;247;1.0363636363636364;0.972972972972973;0.9799599198396793;0.017576898932831136;0.1374764595103578;0.07752667922159448;3186;188193;174;174;1602;0.5028248587570622;147;s m ;0.5004011838910055;0.046139359698681735;231;0.07250470809792843;1.5714285714285714;0.9352226720647774
